"budget_line_2_name","total_amount","total_budget","pct_budget","place_name"
"Contribuciones especiales",40819979.14,41173708202.48,0.1,"Spain"
"De Comunidades Autónomas",2616391302.04,41173708202.48,6.4,"Spain"
"De entes públicos y sociedades mercantiles de la Entidad local",7773847.04,41173708202.48,0,"Spain"
"De Entidades Locales",1168395952.2,41173708202.48,2.8,"Spain"
"De la Administración del Estado",9857443296.08,41173708202.48,23.9,"Spain"
"De las demás Inversiones reales",46175182.86,41173708202.48,0.1,"Spain"
"De Terrenos",286689864.86,41173708202.48,0.7,"Spain"
"Del Exterior",32228707.54,41173708202.48,0.1,"Spain"
"Depósitos y fianzas recibidos",2848580.24,41173708202.48,0,"Spain"
"Devolución de depósitos y fianzas constituidos",6625056.52,41173708202.48,0,"Spain"
"Dividendos y participación beneficios",106615113.45,41173708202.48,0.3,"Spain"
"Emisión de Deuda Pública en euros",156158836.82,41173708202.48,0.4,"Spain"
"Enajenación de Deuda del Sector Público",1000,41173708202.48,0,"Spain"
"Enajenación de obligaciones y bonos fuera del sector público",100,41173708202.48,0,"Spain"
"Impuesto sobre la Renta",442203865.96,41173708202.48,1.1,"Spain"
"Impuesto sobre las Actividades Económicas",1359099149.69,41173708202.48,3.3,"Spain"
"Impuestos sobre el capital",16175490918.98,41173708202.48,39.3,"Spain"
"Impuestos sobre el Valor Añadido",301086876.29,41173708202.48,0.7,"Spain"
"Intereses de anticipos y préstamos concedidos",3288670.63,41173708202.48,0,"Spain"
"Intereses de títulos y valores",1248547.72,41173708202.48,0,"Spain"
"Otros impuestos indirectos",780990784.79,41173708202.48,1.9,"Spain"
"Otros ingresos",1297672053.17,41173708202.48,3.2,"Spain"
"Otros ingresos patrimoniales",23063409.94,41173708202.48,0.1,"Spain"
"Precios públicos",430061657.69,41173708202.48,1,"Spain"
"Préstamos recibidos en euros",563538264,41173708202.48,1.4,"Spain"
"Préstamos recibidos en moneda distinta del euro",756694.59,41173708202.48,0,"Spain"
"Productos de concesiones y aprovechamientos especiales",521201972.37,41173708202.48,1.3,"Spain"
"Reintegro de préstamos y anticipos concedidos al sector público",33451098.37,41173708202.48,0.1,"Spain"
"Reintegros de operaciones corrientes",38094635.94,41173708202.48,0.1,"Spain"
"Reintegros de préstamos de fuera del sector público",47141362.91,41173708202.48,0.1,"Spain"
"Reintegros por operaciones de capital",8293791.83,41173708202.48,0,"Spain"
"Rentas de bienes inmuebles",118329336.26,41173708202.48,0.3,"Spain"
"Sobre consumos específicos",18246851.48,41173708202.48,0,"Spain"
"Tasas por la prestación de servicios públicos básicos",2492200404.67,41173708202.48,6.1,"Spain"
"Tasas por la prestación de servicios públicos de carácter social y preferente",316833139.01,41173708202.48,0.8,"Spain"
"Tasas por la realización de actividades de competencia local",421001076.35,41173708202.48,1,"Spain"
"Tasas por la utilización privativa o el aprovechamiento especial del dominio público local",1452246821.05,41173708202.48,3.5,"Spain"
"Contribuciones especiales",2925396.04,3824742351.37,0.1,"Comunitat Valenciana"
"De Comunidades Autónomas",105886825.16,3824742351.37,2.8,"Comunitat Valenciana"
"De entes públicos y sociedades mercantiles de la Entidad local",47000.01,3824742351.37,0,"Comunitat Valenciana"
"De Entidades Locales",33694487.18,3824742351.37,0.9,"Comunitat Valenciana"
"De la Administración del Estado",1028085435.12,3824742351.37,26.9,"Comunitat Valenciana"
"De las demás Inversiones reales",6148953.89,3824742351.37,0.2,"Comunitat Valenciana"
"De Terrenos",20304614.19,3824742351.37,0.5,"Comunitat Valenciana"
"Del Exterior",1670673.45,3824742351.37,0,"Comunitat Valenciana"
"Depósitos y fianzas recibidos",5528.02,3824742351.37,0,"Comunitat Valenciana"
"Devolución de depósitos y fianzas constituidos",3260,3824742351.37,0,"Comunitat Valenciana"
"Dividendos y participación beneficios",3398595.91,3824742351.37,0.1,"Comunitat Valenciana"
"Impuesto sobre la Renta",24598667.58,3824742351.37,0.6,"Comunitat Valenciana"
"Impuesto sobre las Actividades Económicas",115364077.19,3824742351.37,3,"Comunitat Valenciana"
"Impuestos sobre el capital",1765010658.23,3824742351.37,46.1,"Comunitat Valenciana"
"Impuestos sobre el Valor Añadido",21229922.13,3824742351.37,0.6,"Comunitat Valenciana"
"Intereses de anticipos y préstamos concedidos",160131.75,3824742351.37,0,"Comunitat Valenciana"
"Intereses de títulos y valores",10,3824742351.37,0,"Comunitat Valenciana"
"Otros impuestos indirectos",39053103.73,3824742351.37,1,"Comunitat Valenciana"
"Otros ingresos",113871989.43,3824742351.37,3,"Comunitat Valenciana"
"Otros ingresos patrimoniales",1079087.23,3824742351.37,0,"Comunitat Valenciana"
"Precios públicos",22467234.4,3824742351.37,0.6,"Comunitat Valenciana"
"Préstamos recibidos en euros",40071181.02,3824742351.37,1,"Comunitat Valenciana"
"Productos de concesiones y aprovechamientos especiales",41952989.94,3824742351.37,1.1,"Comunitat Valenciana"
"Reintegro de préstamos y anticipos concedidos al sector público",1022656.93,3824742351.37,0,"Comunitat Valenciana"
"Reintegros de operaciones corrientes",2858981.9,3824742351.37,0.1,"Comunitat Valenciana"
"Reintegros de préstamos de fuera del sector público",3860104.95,3824742351.37,0.1,"Comunitat Valenciana"
"Reintegros por operaciones de capital",10676,3824742351.37,0,"Comunitat Valenciana"
"Rentas de bienes inmuebles",5776102.35,3824742351.37,0.2,"Comunitat Valenciana"
"Tasas por la prestación de servicios públicos básicos",215303057.13,3824742351.37,5.6,"Comunitat Valenciana"
"Tasas por la prestación de servicios públicos de carácter social y preferente",31296236.68,3824742351.37,0.8,"Comunitat Valenciana"
"Tasas por la realización de actividades de competencia local",39906301.64,3824742351.37,1,"Comunitat Valenciana"
"Tasas por la utilización privativa o el aprovechamiento especial del dominio público local",137678412.19,3824742351.37,3.6,"Comunitat Valenciana"
"De Comunidades Autónomas",1709703.06,49383653.34,3.5,"Dénia"
"De Entidades Locales",133893.06,49383653.34,0.3,"Dénia"
"De la Administración del Estado",9198930,49383653.34,18.6,"Dénia"
"Impuesto sobre las Actividades Económicas",735000,49383653.34,1.5,"Dénia"
"Impuestos sobre el capital",24952748.38,49383653.34,50.5,"Dénia"
"Otros impuestos indirectos",530000,49383653.34,1.1,"Dénia"
"Otros ingresos",1151686.29,49383653.34,2.3,"Dénia"
"Productos de concesiones y aprovechamientos especiales",425000,49383653.34,0.9,"Dénia"
"Reintegros de operaciones corrientes",50000,49383653.34,0.1,"Dénia"
"Rentas de bienes inmuebles",38000,49383653.34,0.1,"Dénia"
"Tasas por la prestación de servicios públicos básicos",6749751.71,49383653.34,13.7,"Dénia"
"Tasas por la prestación de servicios públicos de carácter social y preferente",596000,49383653.34,1.2,"Dénia"
"Tasas por la realización de actividades de competencia local",1202940.84,49383653.34,2.4,"Dénia"
"Tasas por la utilización privativa o el aprovechamiento especial del dominio público local",1910000,49383653.34,3.9,"Dénia"
